anem.num,anemone
1,9A
1,9A
1,9A
1,9A
1,9A
1,9A
1,9A
2,10A
2,10A
2,10A
2,10A
2,10A
2,10A
2,10A
3,11A
3,11A
3,11A
3,11A
3,11A
3,11A
3,11A
4,12A
4,12A
4,12A
4,12A
4,12A
4,12A
4,12A
5,9B
5,9B
5,9B
5,9B
5,9B
5,9B
5,9B
6,10B
6,10B
6,10B
6,10B
6,10B
6,10B
6,10B
7,11B
7,11B
7,11B
7,11B
7,11B
7,11B
7,11B
8,12B
8,12B
8,12B
8,12B
8,12B
8,12B
8,12B
9,25A
9,25A
9,25A
9,25A
9,25A
9,25A
9,25A
10,26A
10,26A
10,26A
10,26A
10,26A
10,26A
10,26A
11,27A
11,27A
11,27A
11,27A
11,27A
11,27A
11,27A
12,28A
12,28A
12,28A
12,28A
12,28A
12,28A
12,28A
13,25B
13,25B
13,25B
13,25B
13,25B
13,25B
13,25B
14,26B
14,26B
14,26B
14,26B
14,26B
14,26B
14,26B
15,27B
15,27B
15,27B
15,27B
15,27B
15,27B
15,27B
16,28B
16,28B
16,28B
16,28B
16,28B
16,28B
16,28B
,blank1
,blank1
,blank1
,blank1
,blank1
,blank1
,blank1
,blank2
,blank2
,blank2
,blank2
,blank2
,blank2
,blank2
,blank3
,blank3
,blank3
,blank3
,blank3
,blank3
,blank3
,blank4
,blank4
,blank4
,blank4
,blank4
,blank4
,blank4
17,1A
17,1A
17,1A
17,1A
17,1A
17,1A
17,1A
18,2A
18,2A
18,2A
18,2A
18,2A
18,2A
18,2A
19,3A
19,3A
19,3A
19,3A
19,3A
19,3A
19,3A
20,4A
20,4A
20,4A
20,4A
20,4A
20,4A
20,4A
21,1B
21,1B
21,1B
21,1B
21,1B
21,1B
21,1B
22,2B
22,2B
22,2B
22,2B
22,2B
22,2B
22,2B
23,3B
23,3B
23,3B
23,3B
23,3B
23,3B
23,3B
24,4B
24,4B
24,4B
24,4B
24,4B
24,4B
24,4B
25,17A
25,17A
25,17A
25,17A
25,17A
25,17A
25,17A
26,18A
26,18A
26,18A
26,18A
26,18A
26,18A
26,18A
27,19A
27,19A
27,19A
27,19A
27,19A
27,19A
27,19A
28,20A
28,20A
28,20A
28,20A
28,20A
28,20A
28,20A
29,17B
29,17B
29,17B
29,17B
29,17B
29,17B
29,17B
30,18B
30,18B
30,18B
30,18B
30,18B
30,18B
30,18B
31,19B
31,19B
31,19B
31,19B
31,19B
31,19B
31,19B
32,20B
32,20B
32,20B
32,20B
32,20B
32,20B
32,20B
,blank1
,blank1
,blank1
,blank1
,blank1
,blank1
,blank1
,blank2
,blank2
,blank2
,blank2
,blank2
,blank2
,blank2
,blank3
,blank3
,blank3
,blank3
,blank3
,blank3
,blank3
,blank4
,blank4
,blank4
,blank4
,blank4
,blank4
,blank4
33,5A
33,5A
33,5A
33,5A
33,5A
33,5A
33,5A
34,6A
34,6A
34,6A
34,6A
34,6A
34,6A
34,6A
35,7A
35,7A
35,7A
35,7A
35,7A
35,7A
35,7A
36,8A
36,8A
36,8A
36,8A
36,8A
36,8A
36,8A
37,5B
37,5B
37,5B
37,5B
37,5B
37,5B
37,5B
38,6B
38,6B
38,6B
38,6B
38,6B
38,6B
38,6B
39,7B
39,7B
39,7B
39,7B
39,7B
39,7B
39,7B
40,8B
40,8B
40,8B
40,8B
40,8B
40,8B
40,8B
41,21A
41,21A
41,21A
41,21A
41,21A
41,21A
41,21A
42,22A
42,22A
42,22A
42,22A
42,22A
42,22A
42,22A
43,23A
43,23A
43,23A
43,23A
43,23A
43,23A
43,23A
44,24A
44,24A
44,24A
44,24A
44,24A
44,24A
44,24A
45,21B
45,21B
45,21B
45,21B
45,21B
45,21B
45,21B
46,22B
46,22B
46,22B
46,22B
46,22B
46,22B
46,22B
47,23B
47,23B
47,23B
47,23B
47,23B
47,23B
47,23B
48,24B
48,24B
48,24B
48,24B
48,24B
48,24B
48,24B
,blank1
,blank1
,blank1
,blank1
,blank1
,blank1
,blank1
,blank2
,blank2
,blank2
,blank2
,blank2
,blank2
,blank2
,blank3
,blank3
,blank3
,blank3
,blank3
,blank3
,blank3
,blank4
,blank4
,blank4
,blank4
,blank4
,blank4
,blank4
49,13A
49,13A
49,13A
49,13A
49,13A
49,13A
49,13A
50,14A
50,14A
50,14A
50,14A
50,14A
50,14A
50,14A
51,15A
51,15A
51,15A
51,15A
51,15A
51,15A
51,15A
52,16A
52,16A
52,16A
52,16A
52,16A
52,16A
52,16A
53,13B
53,13B
53,13B
53,13B
53,13B
53,13B
53,13B
54,14B
54,14B
54,14B
54,14B
54,14B
54,14B
54,14B
55,15B
55,15B
55,15B
55,15B
55,15B
55,15B
55,15B
56,16B
56,16B
56,16B
56,16B
56,16B
56,16B
56,16B
57,29A
57,29A
57,29A
57,29A
57,29A
57,29A
57,29A
58,30A
58,30A
58,30A
58,30A
58,30A
58,30A
58,30A
59,31A
59,31A
59,31A
59,31A
59,31A
59,31A
59,31A
60,32A
60,32A
60,32A
60,32A
60,32A
60,32A
60,32A
61,29B
61,29B
61,29B
61,29B
61,29B
61,29B
61,29B
62,30B
62,30B
62,30B
62,30B
62,30B
62,30B
62,30B
63,31B
63,31B
63,31B
63,31B
63,31B
63,31B
63,31B
64,32B
64,32B
64,32B
64,32B
64,32B
64,32B
64,32B
,blank1
,blank1
,blank1
,blank1
,blank1
,blank1
,blank1
,blank2
,blank2
,blank2
,blank2
,blank2
,blank2
,blank2
,blank3
,blank3
,blank3
,blank3
,blank3
,blank3
,blank3
,blank4
,blank4
,blank4
,blank4
,blank4
,blank4
,blank4