Day,Status,Target.temp,edhw,Cohort
0,apo,25,0,Low-Density
0,apo,27,0,Low-Density
0,apo,29,0,Low-Density
0,apo,31,0,Low-Density
1,apo,25,0,Low-Density
1,apo,27,0,Low-Density
1,apo,29,0,Low-Density
1,apo,31,0,Low-Density
2,apo,25,0,Low-Density
2,apo,27,0,Low-Density
2,apo,29,0,Low-Density
2,apo,31,0,Low-Density
3,apo,25,0,Low-Density
3,apo,27,0,Low-Density
3,apo,29,0,Low-Density
3,apo,31,0,Low-Density
4,apo,25,0,Low-Density
4,apo,27,0,Low-Density
4,apo,29,0.258504423,Low-Density
4,apo,31,0.272003857,Low-Density
5,apo,25,0,Low-Density
5,apo,27,0,Low-Density
5,apo,29,0.611054021,Low-Density
5,apo,31,0.663927853,Low-Density
6,apo,25,0,Low-Density
6,apo,27,0,Low-Density
6,apo,29,1.04090114,Low-Density
6,apo,31,1.182738456,Low-Density
7,apo,25,0,Low-Density
7,apo,27,0,Low-Density
7,apo,29,1.458504211,Low-Density
7,apo,31,1.804027184,Low-Density
8,apo,25,0,Low-Density
8,apo,27,0,Low-Density
8,apo,29,1.868989029,Low-Density
8,apo,31,2.426398303,Low-Density
9,apo,25,0,Low-Density
9,apo,27,0,Low-Density
9,apo,29,2.287593886,Low-Density
9,apo,31,3.051540256,Low-Density
10,apo,25,0,Low-Density
10,apo,27,0,Low-Density
10,apo,29,2.711460647,Low-Density
10,apo,31,3.673751206,Low-Density
11,apo,25,0,Low-Density
11,apo,27,0.196756081,Low-Density
11,apo,29,3.148856576,Low-Density
11,apo,31,4.287855906,Low-Density
12,apo,25,0,Low-Density
12,apo,27,0.399942867,Low-Density
12,apo,29,3.569376016,Low-Density
12,apo,31,4.908303661,Low-Density
13,apo,25,0,Low-Density
13,apo,27,0.399942867,Low-Density
13,apo,29,3.978489206,Low-Density
13,apo,31,5.53341238,Low-Density
14,apo,25,0,Low-Density
14,apo,27,0.399942867,Low-Density
14,apo,29,4.375420054,Low-Density
14,apo,31,6.143642726,Low-Density
15,apo,25,0,Low-Density
15,apo,27,0.399942867,Low-Density
15,apo,29,4.7183628,Low-Density
16,apo,25,0,Low-Density
16,apo,27,0.399942867,Low-Density
17,apo,25,0,Low-Density
0,symb,25,0,Low-Density
0,symb,27,0,Low-Density
0,symb,29,0,Low-Density
0,symb,31,0,Low-Density
1,symb,25,0,Low-Density
1,symb,27,0,Low-Density
1,symb,29,0,Low-Density
1,symb,31,0,Low-Density
2,symb,25,0,Low-Density
2,symb,27,0,Low-Density
2,symb,29,0,Low-Density
2,symb,31,0,Low-Density
3,symb,25,0,Low-Density
3,symb,27,0,Low-Density
3,symb,29,0,Low-Density
3,symb,31,0,Low-Density
4,symb,25,0,Low-Density
4,symb,27,0,Low-Density
4,symb,29,0.223981,Low-Density
4,symb,31,0.251765857,Low-Density
5,symb,25,0,Low-Density
5,symb,27,0,Low-Density
5,symb,29,0.542007,Low-Density
5,symb,31,0.623451853,Low-Density
6,symb,25,0,Low-Density
6,symb,27,0,Low-Density
6,symb,29,0.93733,Low-Density
6,symb,31,1.122024456,Low-Density
7,symb,25,0,Low-Density
7,symb,27,0,Low-Density
7,symb,29,1.320409,Low-Density
7,symb,31,1.723075184,Low-Density
8,symb,25,0,Low-Density
8,symb,27,0,Low-Density
8,symb,29,1.69637,Low-Density
8,symb,31,2.325208303,Low-Density
9,symb,25,0,Low-Density
9,symb,27,0,Low-Density
9,symb,29,2.080452,Low-Density
9,symb,31,2.930112256,Low-Density
10,symb,25,0,Low-Density
10,symb,27,0,Low-Density
10,symb,29,2.469795,Low-Density
10,symb,31,3.532085206,Low-Density
11,symb,25,0,Low-Density
11,symb,27,0.170565653,Low-Density
11,symb,29,2.872667,Low-Density
11,symb,31,4.125951906,Low-Density
12,symb,25,0,Low-Density
12,symb,27,0.34756201,Low-Density
12,symb,29,3.258663,Low-Density
12,symb,31,4.726161661,Low-Density
13,symb,25,0,Low-Density
13,symb,27,0.34756201,Low-Density
13,symb,29,3.633252,Low-Density
13,symb,31,5.33103238,Low-Density
14,symb,25,0,Low-Density
14,symb,27,0.34756201,Low-Density
14,symb,29,3.995659,Low-Density
14,symb,31,5.921024726,Low-Density
15,symb,25,0,Low-Density
15,symb,27,0.34756201,Low-Density
15,symb,29,4.304078,Low-Density
16,symb,25,0,Low-Density
16,symb,27,0.34756201,Low-Density
17,symb,25,0,Low-Density
0,apo,25,0,High-Density
0,apo,27,0,High-Density
0,apo,29,0,High-Density
0,apo,31,0,High-Density
1,apo,25,0,High-Density
1,apo,27,0,High-Density
1,apo,29,0,High-Density
1,apo,31,0,High-Density
2,apo,25,0,High-Density
2,apo,27,0,High-Density
2,apo,29,0,High-Density
2,apo,31,0,High-Density
3,apo,25,0,High-Density
3,apo,27,0,High-Density
3,apo,29,0,High-Density
3,apo,31,0,High-Density
4,apo,25,0,High-Density
4,apo,27,0,High-Density
4,apo,29,0,High-Density
4,apo,31,0,High-Density
5,apo,25,0,High-Density
5,apo,27,0,High-Density
5,apo,29,0,High-Density
5,apo,31,0,High-Density
6,apo,25,0,High-Density
6,apo,27,0,High-Density
6,apo,29,0.29506204,High-Density
6,apo,31,0.22374901,High-Density
7,apo,25,0,High-Density
7,apo,27,0,High-Density
7,apo,29,0.53526943,High-Density
7,apo,31,0.574671666,High-Density
8,apo,25,0,High-Density
8,apo,27,0.148211938,High-Density
8,apo,29,0.847710239,High-Density
8,apo,31,1.066324346,High-Density
9,apo,25,0,High-Density
9,apo,27,0.299496397,High-Density
9,apo,29,1.284976644,High-Density
9,apo,31,1.636467553,High-Density
10,apo,25,0,High-Density
10,apo,27,0.447180806,High-Density
10,apo,29,1.716211501,High-Density
10,apo,31,2.201062892,High-Density
11,apo,25,0,High-Density
11,apo,27,0.593820472,High-Density
11,apo,29,2.093426319,High-Density
11,apo,31,2.768820186,High-Density
12,apo,25,0,High-Density
12,apo,27,0.739607659,High-Density
12,apo,29,2.467517723,High-Density
12,apo,31,3.336925793,High-Density
13,apo,25,0,High-Density
13,apo,27,0.885566968,High-Density
13,apo,29,2.80820893,High-Density
13,apo,31,3.963247025,High-Density
14,apo,25,0,High-Density
14,apo,27,1.032198417,High-Density
14,apo,29,3.200685057,High-Density
14,apo,31,4.67517241,High-Density
15,apo,25,0,High-Density
15,apo,27,1.181332578,High-Density
15,apo,29,3.502378049,High-Density
15,apo,31,5.386397064,High-Density
16,apo,25,0,High-Density
16,apo,27,1.330250568,High-Density
16,apo,29,3.791501795,High-Density
16,apo,31,6.096045876,High-Density
17,apo,25,0,High-Density
17,apo,27,1.479907993,High-Density
17,apo,29,4.136856493,High-Density
17,apo,31,6.804607535,High-Density
18,apo,25,0,High-Density
18,apo,27,1.628593046,High-Density
18,apo,29,4.598652065,High-Density
18,apo,31,7.513197418,High-Density
19,apo,27,1.779522048,High-Density
19,apo,29,5.079916684,High-Density
19,apo,31,8.224327628,High-Density
20,apo,29,5.576015826,High-Density
20,apo,31,8.935271727,High-Density
21,apo,31,9.648124011,High-Density
0,symb,25,0,High-Density
0,symb,27,0,High-Density
0,symb,29,0,High-Density
0,symb,31,0,High-Density
1,symb,25,0,High-Density
1,symb,27,0,High-Density
1,symb,29,0,High-Density
1,symb,31,0,High-Density
2,symb,25,0,High-Density
2,symb,27,0,High-Density
2,symb,29,0,High-Density
2,symb,31,0,High-Density
3,symb,25,0,High-Density
3,symb,27,0,High-Density
3,symb,29,0,High-Density
3,symb,31,0,High-Density
4,symb,25,0,High-Density
4,symb,27,0,High-Density
4,symb,29,0,High-Density
4,symb,31,0,High-Density
5,symb,25,0,High-Density
5,symb,27,0,High-Density
5,symb,29,0,High-Density
5,symb,31,0,High-Density
6,symb,25,0,High-Density
6,symb,27,0,High-Density
6,symb,29,0.264109611,High-Density
6,symb,31,0.232677581,High-Density
7,symb,25,0,High-Density
7,symb,27,0,High-Density
7,symb,29,0.473364573,High-Density
7,symb,31,0.592528809,High-Density
8,symb,25,0,High-Density
8,symb,27,0.163092938,High-Density
8,symb,29,0.754852953,High-Density
8,symb,31,1.093110061,High-Density
9,symb,25,0,High-Density
9,symb,27,0.329258397,High-Density
9,symb,29,1.16116693,High-Density
9,symb,31,1.672181838,High-Density
10,symb,25,0,High-Density
10,symb,27,0.491823806,High-Density
10,symb,29,1.561449358,High-Density
10,symb,31,2.245705749,High-Density
11,symb,25,0,High-Density
11,symb,27,0.653344472,High-Density
11,symb,29,1.907711747,High-Density
11,symb,31,2.822391614,High-Density
12,symb,25,0,High-Density
12,symb,27,0.814012659,High-Density
12,symb,29,2.250850723,High-Density
12,symb,31,3.399425793,High-Density
13,symb,25,0,High-Density
13,symb,27,0.974852968,High-Density
13,symb,29,2.560589501,High-Density
13,symb,31,4.034675596,High-Density
14,symb,25,0,High-Density
14,symb,27,1.136365417,High-Density
14,symb,29,2.922113199,High-Density
14,symb,31,4.755529553,High-Density
15,symb,25,0,High-Density
15,symb,27,1.300380578,High-Density
15,symb,29,3.192853763,High-Density
15,symb,31,5.4756827789999996,High-Density
16,symb,25,0,High-Density
16,symb,27,1.464179568,High-Density
16,symb,29,3.45102508,High-Density
16,symb,31,6.194260162,High-Density
17,symb,25,0,High-Density
17,symb,27,1.628717993,High-Density
17,symb,29,3.76542735,High-Density
17,symb,31,6.911750392,High-Density
18,symb,25,0,High-Density
18,symb,27,1.792284046,High-Density
18,symb,29,4.196270493,High-Density
18,symb,31,7.629268846,High-Density
19,symb,27,1.958094048,High-Density
19,symb,29,4.646582684,High-Density
19,symb,31,8.349327628,High-Density
20,symb,29,5.111729398,High-Density
20,symb,31,9.069200299,High-Density
21,symb,31,9.790981154,High-Density
